value,anomaly
-0.47878488637225114,1
0.3987358609968449,0
0.8091081963448463,0
1.0078879561539287,0
1.340090947274365,0
1.4651511875473089,0
5.7824810790733965,1
5.151638424030785,1
1.3430283913872911,0
1.1748949724841875,0
0.8473258545260131,0
0.5848240906362336,0
0.1442302215722563,0
-0.126736319970023,0
-0.5017327685987929,0
-0.8895087141930071,0
-1.1956158924275773,0
-1.2800106273140286,0
-5.770375399251271,1
-1.5809139611115648,0
-1.3051611498920859,0
-1.150871500164517,0
-1.0457115943340234,0
-0.7858131915214203,0
-0.35919592895498603,0
0.07028116508317239,0
0.42785985653489295,0
0.8247472205384734,0
1.0023528044528613,0
1.270667589367131,0
1.4432647450843785,0
1.388798818000507,0
1.41670445317345,0
1.4184746295254753,0
1.2120532212787463,0
0.8474818588786098,0
0.6414084991292014,0
0.06120358836768554,0
-0.2897297790110559,0
-0.6446194175706379,0
-0.9225108155641442,0
-1.205882744424691,0
-1.3566919864568616,0
-1.5194012812538955,0
-1.399558987035759,0
-1.556566946216726,0
-1.3402401456877449,0
-1.0000075774054804,0
-0.8436488988642354,0
-0.26273129075137114,0
-0.08910131979882703,0
0.33180386623212027,0
0.6521270490367155,0
0.9647257315655933,0
1.2746566483405493,0
1.464670493729655,0
1.4323730416541216,0
1.5671411067975565,0
1.351269735255224,0
1.0890400030688054,1
0.31554299922748186,1
-0.4464152497613807,1
-1.294161803009272,1
-2.186983709199311,1
-1.7066228816752695,1
-3.959993619266908,1
-4.106268615017041,1
-5.302025187699742,1
-5.89641176813805,1
-6.104454388471827,0
-6.064673896956734,0
-5.739034896290473,0
-5.551703944021994,0
-5.2743218595093015,0
-4.720439263634411,0
-0.2611318100263736,1
-4.070681169478203,0
-3.8753939142784883,0
-3.429636340922394,0
-3.316347343696649,0
-3.021656115290417,0
-2.9514431523972124,0
-3.144070688625346,0
-3.074886362190971,0
-3.2858184558870867,0
-3.586204656266538,0
-3.939647771730641,0
-4.309878877041813,0
-4.731411787205784,0
-5.142145668966562,0
-2.5040954572803593,1
-5.62808256738066,0
-2.623233948330131,1
-6.001698627355706,0
-5.859644886505492,0
-5.926358466890388,0
-5.772193648182368,0
-5.526523839343963,0
-5.236506569469854,0
-5.0595711958889895,0
-4.627848840432068,0
-4.212184744764769,0
1.8361916169921488,1
-3.4706805452465503,0
-3.252174761776335,0
5.3150857032314365,1
-2.8772896320667454,1
-1.4326358625010398,1
-3.094032236194546,1
-1.9270092441919462,1
-3.711355640924724,1
1.6685629900125032,1
-4.332990069846787,1
-3.255566177680454,1
-5.047532908055208,1
-3.991859825147507,1
